customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,ServiceCount,HasInternetService
7590-VHVEG,Female,0.0,Yes,No,0.013888888888888895,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.11542288557213931,29.85,No,2149.1999999999994,1,1
5575-GNVDE,Male,0.0,No,No,0.47222222222222227,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,0.3850746268656716,1889.5,No,4001.2941176470586,2,1
3668-QPYBK,Male,0.0,No,No,0.02777777777777779,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0.354228855721393,108.15,Yes,3893.3999999999983,2,1
7795-CFOCW,Male,0.0,No,No,0.625,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),0.23930348258706463,1840.75,No,2945.2,3,1
9237-HQITU,Female,0.0,No,No,0.02777777777777779,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5218905472636816,151.65,Yes,5459.399999999998,0,1
9305-CDSKC,Female,0.0,No,No,0.11111111111111116,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8099502487562189,820.5,Yes,7384.499999999996,3,1
1452-KIOVK,Male,0.0,No,Yes,0.3055555555555556,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.7049751243781093,1949.4,No,6379.854545454546,2,1
6713-OKOMC,Female,0.0,No,No,0.13888888888888895,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.11442786069651739,301.9,No,2173.679999999999,1,1
7892-POOKP,Female,0.0,Yes,No,0.38888888888888895,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8611940298507461,3046.05,Yes,7832.699999999999,4,1
6388-TABGU,Male,0.0,No,Yes,0.8611111111111112,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),0.3771144278606965,3487.95,No,4050.522580645161,2,1
9763-GRSKD,Male,0.0,Yes,Yes,0.18055555555555558,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.3154228855721393,587.45,No,3253.5692307692307,1,1
7469-LKBCI,Male,0.0,No,No,0.22222222222222227,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.006965174129353158,326.8,No,1470.5999999999997,0,0
8091-TTVAX,Male,0.0,Yes,No,0.8055555555555556,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.816915422885572,5681.1,No,7052.400000000001,3,1
0280-XJGEX,Male,0.0,No,No,0.6805555555555556,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8502487562189054,5036.3,Yes,7400.277551020408,4,1
5129-JLPIS,Male,0.0,No,No,0.34722222222222227,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8681592039800994,2686.05,No,7735.824,5,1
3655-SNQYZ,Female,0.0,Yes,Yes,0.9583333333333334,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.9452736318407959,7895.15,No,8238.417391304347,6,1
